iteration , Loss , acc , valLoss , valAcc;
1 ,2.249098799133301 ,0.27794 ,2.307049477824007 ,0.2114;
2 ,2.07816054359436 ,0.27676 ,2.2011348222391294 ,0.2292;
3 ,1.9071453759384156 ,0.31632 ,2.045073161109949 ,0.3154;
4 ,1.9058185000610353 ,0.34268 ,1.8908958054198244 ,0.34;
5 ,1.8078290240478516 ,0.36782 ,1.6201243122545674 ,0.4376;
6 ,1.7043718989562988 ,0.40854 ,1.625740499161303 ,0.4391;
7 ,1.6993014126205443 ,0.41796 ,1.5672647077054642 ,0.4742;
8 ,1.616482334022522 ,0.45126 ,1.4474497513649183 ,0.5012;
9 ,1.6031339262390136 ,0.4568 ,1.5088379992463719 ,0.4886;
10 ,1.5826001599502564 ,0.46634 ,1.4225238034138665 ,0.5269;
11 ,1.5434074761199952 ,0.4801 ,1.5640306693677324 ,0.4831;
12 ,1.5446155749130248 ,0.48474 ,1.4233355682117108 ,0.5248;
13 ,1.5204877338409424 ,0.4963 ,1.423090453917226 ,0.5446;
14 ,1.5078481169509887 ,0.49824 ,1.3583433618560767 ,0.5475;
15 ,1.499239712562561 ,0.50324 ,1.3419372241337078 ,0.5529;
16 ,1.477687192802429 ,0.51392 ,1.3329782586889907 ,0.5668;
17 ,1.4774604219436644 ,0.51462 ,1.3662578958672837 ,0.5504;
18 ,1.4675291918945312 ,0.5192 ,1.2870369264112114 ,0.5776;
19 ,1.4604118642807007 ,0.51912 ,1.24495973011937 ,0.5987;
20 ,1.4528898684692382 ,0.5258 ,1.3516425572264308 ,0.5576;
21 ,1.4455851134490967 ,0.52598 ,1.2789720913853508 ,0.5881;
22 ,1.4394298542022705 ,0.53236 ,1.2878301233148421 ,0.5847;
23 ,1.4393633483505248 ,0.53452 ,1.3533647909712867 ,0.5634;
24 ,1.4316501631546021 ,0.53518 ,1.3160547602671784 ,0.5864;
25 ,1.4249403511047363 ,0.53784 ,1.2763327737204946 ,0.5924;
26 ,1.4278450080871583 ,0.53866 ,1.2732782291528135 ,0.5989;
27 ,1.4183662986373902 ,0.54142 ,1.3236261501479833 ,0.5868;
28 ,1.4230199319458008 ,0.5412 ,1.2282220671732966 ,0.6084;
29 ,1.4226717405700684 ,0.54128 ,1.3132379264496385 ,0.5906;
30 ,1.4126266666030884 ,0.54592 ,1.2101358935094109 ,0.6196;
31 ,1.4065213176727296 ,0.54906 ,1.25041535239631 ,0.6047;
32 ,1.3995769548034669 ,0.55272 ,1.2462065802595486 ,0.6066;
33 ,1.4046195264816284 ,0.5503 ,1.259741736677127 ,0.6221;
34 ,1.4019740802383422 ,0.55342 ,1.3298172577501486 ,0.581;
35 ,1.4027826861572266 ,0.55164 ,1.2508267348947617 ,0.6024;
36 ,1.399122430267334 ,0.55376 ,1.252628103803141 ,0.6111;
37 ,1.3962698514175416 ,0.55676 ,1.4315488770746956 ,0.5714;
38 ,1.3972747143173219 ,0.55708 ,1.2981267327698656 ,0.5937;
39 ,1.3851657850265502 ,0.56116 ,1.3239481150151822 ,0.5973;
40 ,1.3894003882598878 ,0.5615 ,1.1833389268134729 ,0.6384;
41 ,1.387588055267334 ,0.56134 ,1.1975010534444936 ,0.6345;
42 ,1.3842827883148194 ,0.5636 ,1.197176633932339 ,0.6255;
43 ,1.3773390356445312 ,0.56704 ,1.148264128179215 ,0.6472;
44 ,1.3798393566131593 ,0.56396 ,1.2447703374079622 ,0.5992;
45 ,1.3722042887496948 ,0.5664 ,1.3671993923644288 ,0.5983;
46 ,1.371625397052765 ,0.5702 ,1.1274128070654579 ,0.6594;
47 ,1.3698789093017578 ,0.57154 ,1.227698825799619 ,0.6293;
48 ,1.3639517865371704 ,0.57346 ,1.2064585285826612 ,0.6311;
49 ,1.3582959364318847 ,0.5754 ,1.2015733019993329 ,0.6273;
50 ,1.358761779975891 ,0.57656 ,1.1157882057439785 ,0.6631;
51 ,1.3577429981613158 ,0.5759 ,1.2248039304638823 ,0.6268;
52 ,1.3545702111816407 ,0.57546 ,1.17398133864418 ,0.6439;
53 ,1.3498255655288696 ,0.57864 ,1.2736970376663697 ,0.625;
54 ,1.354444351387024 ,0.5769 ,1.3439853240887578 ,0.5919;
55 ,1.3497497730255128 ,0.5802 ,1.205318994796314 ,0.6382;
56 ,1.355474066467285 ,0.57834 ,1.2608500330592878 ,0.6214;
57 ,1.3499338837051391 ,0.57666 ,1.1077782606926208 ,0.6653;
58 ,1.3465966360473633 ,0.5814 ,1.1989535799803444 ,0.6425;
59 ,1.3432116207122802 ,0.5815 ,1.2232970622020027 ,0.6272;
60 ,1.340798692741394 ,0.58368 ,1.155790997960697 ,0.6515;
61 ,1.341995167312622 ,0.58244 ,1.1411641978989013 ,0.659;
62 ,1.3419140732574464 ,0.5838 ,1.2400744172711722 ,0.6325;
63 ,1.3394923962402343 ,0.58606 ,1.151394420919327 ,0.6528;
64 ,1.3397583123016357 ,0.58502 ,1.2342961291535595 ,0.6252;
65 ,1.3364237234306335 ,0.58592 ,1.1616414452132326 ,0.6581;
66 ,1.3347372375488282 ,0.5884 ,1.1083970886830705 ,0.6653;
67 ,1.3357618210220337 ,0.5885 ,1.176737010098113 ,0.6439;
68 ,1.3374865830612184 ,0.5867 ,1.1281520889970822 ,0.6646;
69 ,1.3354604428482055 ,0.58438 ,1.2110083270758485 ,0.6373;
70 ,1.3342110423660278 ,0.58746 ,1.098121098816966 ,0.6696;
71 ,1.3304277917861937 ,0.58812 ,1.2201315539713484 ,0.6184;
72 ,1.3333080304336549 ,0.58674 ,1.283226842697436 ,0.6069;
73 ,1.3317386583709716 ,0.58686 ,1.1156537456634326 ,0.6678;
74 ,1.3274039189147948 ,0.58788 ,1.1756816732997712 ,0.6415;
75 ,1.3307019259262085 ,0.58888 ,1.1363823640460786 ,0.6533;
76 ,1.327482766418457 ,0.59134 ,1.4133958540404568 ,0.5777;
77 ,1.3262743728637696 ,0.59378 ,1.217365708594886 ,0.6478;
78 ,1.3247633195495605 ,0.59216 ,1.0909796781814136 ,0.6739;
79 ,1.3247850016784668 ,0.5909 ,1.2117611017470924 ,0.6371;
80 ,1.326277163848877 ,0.59184 ,1.2247587560464779 ,0.6364;
81 ,1.329370675163269 ,0.588 ,1.1502666229638048 ,0.6516;
82 ,1.3205384502029418 ,0.5947 ,1.1719586832073932 ,0.6513;
83 ,1.3216866584396363 ,0.59546 ,1.1844756753680805 ,0.6577;
84 ,1.324854584236145 ,0.59194 ,1.2565907079952594 ,0.6354;
85 ,1.3245707526397705 ,0.59446 ,1.1338184692989142 ,0.6609;
86 ,1.321050565109253 ,0.59512 ,1.0968026682591667 ,0.685;
87 ,1.3215685973358153 ,0.5942 ,1.1046532150655508 ,0.6655;
88 ,1.3152445570755005 ,0.59524 ,1.1705097895079908 ,0.6404;
89 ,1.3215264772987365 ,0.59416 ,1.150290933851236 ,0.6688;
90 ,1.3203381551742555 ,0.59494 ,1.1300191111838855 ,0.6693;
91 ,1.3198755929565429 ,0.5961 ,1.218122084491169 ,0.6509;
92 ,1.313850179977417 ,0.59466 ,1.145984107693925 ,0.6598;
93 ,1.316832158203125 ,0.59454 ,1.2434059783292655 ,0.6259;
94 ,1.3142892679214477 ,0.5975 ,1.277905263649389 ,0.6251;
95 ,1.312598744430542 ,0.59852 ,1.0860435311405803 ,0.6838;
96 ,1.308416263809204 ,0.59886 ,1.1049187750862048 ,0.6708;
97 ,1.3225601453781128 ,0.5933 ,1.3893324492838437 ,0.5949;
98 ,1.3091041695785524 ,0.59882 ,1.1524561500777832 ,0.6721;
99 ,1.3091352157592773 ,0.59668 ,1.1875400539404286 ,0.6456;
100 ,1.3145957685470582 ,0.59626 ,1.0845902583088738 ,0.6873;
;
;
;
;
;regularization = 0.001
